,Raw,P5(l<1000),P5(l<1000)+P5(l<500)
656.0,0.9866664547416305,0.9868891190877065,0.9868891190877065
657.0,0.9864168671106188,0.9869548109204738,0.9869548109204738
658.0,0.9865575852323785,0.987019937457964,0.987019937457964
659.0,0.9862750076842742,0.9870845081713497,0.9870845081713497
660.0,0.9861909317933444,0.987148532458576,0.987148532458576
661.0,0.9867072583541566,0.987212019644504,0.987212019644504
662.0,0.9869938983264578,0.9872749789810542,0.9872749789810542
663.0,0.9871920669366174,0.9873374196473497,0.9873374196473497
664.0,0.9873053060243419,0.9873993507498604,0.9873993507498604
665.0,0.9873504317512041,0.9874607813225462,0.9874607813225462
666.0,0.9878001162751568,0.9875217203269993,0.9875217203269993
667.0,0.9878150913548034,0.9875821766525856,0.9875821766525856
668.0,0.9872420553340695,0.9876421591165945,0.9876421591165945
669.0,0.9869701132108272,0.9877016764643738,0.9877016764643738
670.0,0.9874316322527369,0.987760737369481,0.987760737369481
671.0,0.9881058285942069,0.9878193504338197,0.9878193504338197
672.0,0.9883587767384501,0.9878775241877882,0.9878775241877882
673.0,0.9881757208881875,0.9879352670904187,0.9879352670904187
674.0,0.9884043492681259,0.9879925875295237,0.9879925875295237
675.0,0.9887438481987972,0.9880494938218385,0.9880494938218385
676.0,0.9882297929700917,0.9881059942131614,0.9881059942131614
677.0,0.988028390467486,0.988162096878503,0.988162096878503
678.0,0.9881441520682543,0.9882178099222254,0.9882178099222254
679.0,0.9883858174873258,0.988273141378184,0.988273141378184
680.0,0.9885523883835535,0.9883280992098753,0.9883280992098753
681.0,0.9883281610961676,0.9883826913105773,0.9883826913105773
682.0,0.9879978424391468,0.9884369255034935,0.9884369255034935
683.0,0.9879803439059158,0.9884908095418947,0.9884908095418947
684.0,0.9881742801418167,0.9885443511092666,0.9885443511092666
685.0,0.9882409965349044,0.9885975578194475,0.9885975578194475
686.0,0.9880906196830402,0.9886504372167761,0.9886504372167761
687.0,0.9879042073222438,0.988702996776232,0.988702996776232
688.0,0.9881546671468224,0.98875524390358,0.98875524390358
689.0,0.9885109047936252,0.9888071859355145,0.9888071859355145
690.0,0.9885630884402464,0.9888588301397998,0.9888588301397998
691.0,0.9880439079879446,0.9889101837154166,0.9889101837154166
692.0,0.9878993382739518,0.9889612537927044,0.9889612537927044
693.0,0.9881178998343516,0.9890120474335025,0.9890120474335025
694.0,0.9882852310144417,0.9890625716312971,0.9890625716312971
695.0,0.9886588046130949,0.9891128333113619,0.9891128333113619
696.0,0.9888789989042265,0.9891628393309011,0.9891628393309011
697.0,0.9888943063677891,0.9892125964791965,0.9892125964791965
